Date	heure	t	Tu	I	G	tm	tau	ta	p	Vc	Ac	Tc	Tcf	Dich	e	T	Tf	Ach	Vm	Am	T 1051	Ieff	Ambient	5V	T1	T2	E	T surf	T IR	T IRa	Fth	Fthc	Fthmoy	Fthmin	Ebullition	C(€)	e1	e2
24/08/2013	15:08	0	80	0,275	0,4	15	20	2	30	4	2	24,0299	29,356159	8,25	101,084959	24,07	-71,7288	1	0,0802	-47,9796	24,07	4,229633	25,25	5,065093	33,957165	26,341246	-0,94162	0	23,97	28,97	1,135623	0	1,135623	0	0	0,000406	101	0
24/08/2013	15:09	0,5	80	0,275	0,4	15	20	2	30	4	2	25,411807	30,60656	8,25	2,69196	24,515	27,9146	1	0,89	0,8098	24,515	4,229633	25,7578	5,047164	32,682322	26,341246	-0,956685	23,97	23,87	28,95	0,913123	0	1,024373	0	0	0,000812	3	0
24/08/2013	15:09	1	80	0,275	0,4	15	20	2	30	4	2	26,759594	31,826088	8,25	8,581688	24,5716	23,2444	1	0,1132	-0,7768	24,5716	4,250165	26,1484	5,083023	32,914112	26,341246	-0,94162	23,87	23,95	28,95	0,884823	0	0,977856	0	0	0,00122	9	0
24/08/2013	15:10	1,5	80	0,275	0,4	15	20	2	30	4	2	28,074104	33,015507	8,25	7,110607	24,7449	25,9049	1	0,3466	0,2334	24,7449	4,239899	26,3594	5,029234	33,377691	26,341246	-0,945386	23,95	23,95	28,97	0,798173	0	0,932936	0	0	0,001627	7	0
24/08/2013	15:10	2	80	0,275	0,4	15	20	2	30	4	2	29,356159	34,175558	8,25	5,172958	25,295	29,0026	1	1,1002	0,7536	25,295	4,250165	26,5391	5,029234	33,261796	26,341246	-0,949153	23,95	23,91	28,95	0,523123	0	0,850973	0	0	0,002034	5	0
24/08/2013	15:11	2,5	80	0,275	0,4	15	20	2	30	4	2	30,60656	35,306967	8,25	4,763067	26,1227	30,5439	1	1,6554	0,5552	26,1227	4,229633	26,7422	5,047164	33,377691	26,341246	-0,926554	23,91	24,03	28,95	0,109273	0	0,727356	0	0	0,00244	5	0
24/08/2013	15:11	3	80	0,275	0,4	15	20	2	30	4	2	31,826088	36,410442	7,55417	2,289142	27,3793	34,1213	0	2,5132	0,8578	27,3793	0	26,875	5,083023	33,60948	26,341246	-0,952919	24,03	23,91	28,97	-0,519027	0	0,549302	0	0	0,00255	2	0
24/08/2013	15:12	3,5	80	0,275	0,4	15	20	2	30	4	2	33,015507	37,486672	8,25	2,690372	28,7619	34,7963	1	2,7652	0,252	28,7619	4,229633	27,0078	5,100952	34,304849	26,341246	-0,967985	23,91	23,83	28,97	-1,210327	0	0,329348	0	0	0,002956	3	0
24/08/2013	15:12	4	80	0,275	0,4	15	20	2	30	4	2	34,175558	38,53633	0	-1,82127	30,6648	40,3576	0	3,8058	1,0406	30,6648	0	27,1172	5,029234	35,347902	26,341246	-0,956685	23,83	23,89	28,97	-2,161777	0	0,052556	0	0	0,003066	-2	0
24/08/2013	15:12	4,5	80	0,275	0,4	15	20	2	30	4	2	35,306967	39,560072	0,086037	0,026072	32,496	39,534	1	3,6624	-0,1434	32,496	2,135349	27,1797	5,818134	34,884323	26,341246	-0,975518	23,89	23,79	28,97	-3,077377	0	-0,260437	0	0	0,003177	0	0
24/08/2013	15:13	5	80	0,275	0,4	15	20	2	30	4	2	36,410442	40,558537	0	-1,668563	34,3911	42,2271	0	3,7902	0,1278	34,3911	0	27,2813	5,029234	35,232007	26,467887	-0,971751	23,79	23,81	28,97	-3,961607	0	-0,596907	0	0	0,003286	-2	0
24/08/2013	15:13	5,5	80	0,275	0,4	15	20	2	30	4	2	37,486672	41,53235	0	-2,18305	36,2694	43,7154	0	3,7566	-0,0336	36,2694	0	27,3906	5,100952	34,420744	26,341246	-0,952919	23,81	23,91	28,97	-4,964077	0	-0,960838	0	0	0,003396	-2	0
24/08/2013	15:14	6	80	0,275	0,4	15	20	2	30	4	2	38,53633	42,48212	0	-0,17368	37,8138	42,6558	0	3,0888	-0,6678	37,8138	0	27,4609	5,047164	36,04327	26,341246	-0,94162	23,91	23,99	28,99	-5,736277	0	-1,328179	0	0	0,003506	0	0
24/08/2013	15:14	6,5	80	0,275	0,4	15	20	2	30	4	2	39,560072	43,40844	0	-1,03206	39,2365	44,4405	0	2,8454	-0,2434	39,2365	0	27,5938	5,029234	36,04327	26,341246	-0,934087	23,99	24,03	28,99	-6,447627	0	-1,693854	0	0	0,003615	-1	0
24/08/2013	15:15	7	80	0,275	0,4	15	20	2	30	4	2	40,558537	44,311889	7,334212	2,222489	40,1858	42,0894	1	1,8986	-0,9468	40,1858	4,270698	27,6953	5,083023	35,463797	26,341246	-0,94162	24,03	23,99	28,99	-6,922277	0	-2,042416	0	0	0,003991	2	0
24/08/2013	15:15	7,5	80	0,275	0,4	15	20	2	30	4	2	41,53235	45,193031	0	-0,520469	41,2219	45,7135	0	2,0722	0,1736	41,2219	0	27,7734	5,100952	35,579691	26,341246	-0,945386	23,99	23,97	28,99	-7,440327	0	-2,379785	0	0	0,004101	-1	0
24/08/2013	15:16	8	80	0,275	0,4	15	20	2	30	4	2	42,48212	46,052418	3,54657	1,074718	42,0997	44,9777	1	1,7556	-0,3166	42,0997	4,229633	27,9141	5,065093	36,390955	26,341246	-0,937853	23,97	24,03	29,01	-7,879227	0	-2,703282	0	0	0,004338	1	0
24/08/2013	15:16	8,5	80	0,275	0,4	15	20	2	30	4	2	43,40844	46,890587	4,842707	1,467487	42,8591	45,4231	1	1,5188	-0,2368	42,8591	4,270698	28,0469	5,047164	35,463797	26,341246	-0,949153	24,03	23,97	29,01	-8,258927	0	-3,011929	0	0	0,004623	1	0
24/08/2013	15:17	9	80	0,275	0,4	15	20	2	30	4	2	44,311889	47,708061	0	-2,717239	44,0373	50,4253	0	2,3564	0,8376	44,0373	0	28,1563	5,083023	36,854534	26,341246	-0,937853	23,97	24,05	29,03	-8,848027	0	-3,319092	0	0	0,004733	-3	0
24/08/2013	15:18	9,5	80	0,275	0,4	15	20	2	30	4	2	45,193031	48,505352	7,356532	2,229252	44,8097	46,2761	1	1,5448	-0,8116	44,8097	4,239899	28,2656	5,083023	37,434007	26,341246	-0,952919	24,05	23,97	29,03	-9,234227	0	-3,614848	0	0	0,005107	2	0
24/08/2013	15:18	10	80	0,275	0,4	15	20	2	30	4	2	46,052418	49,282958	0	-1,925842	45,864	51,2088	0	2,1086	0,5638	45,864	0	28,3984	5,029234	36,622744	26,341246	-0,949153	23,97	23,95	28,99	-9,761377	0	-3,90754	0	0	0,005217	-2	0
24/08/2013	15:18	10,5	80	0,275	0,4	15	20	2	30	4	2	46,890587	50,041364	0	-0,640536	46,8679	50,6819	0	2,0078	-0,1008	46,8679	0	28,5547	5,011305	37,665797	26,341246	-0,983051	23,95	23,79	29,01	-10,263327	0	-4,19644	0	0	0,005326	-1	0
24/08/2013	15:19	11	80	0,275	0,4	15	20	2	30	4	2	47,708061	50,781046	0	-3,258254	48,1109	54,0393	0	2,486	0,4782	48,1109	0	28,6797	5,083023	37,434007	26,341246	-0,960452	23,79	23,91	29,01	-10,884827	0	-4,487239	0	0	0,005436	-3	0
24/08/2013	15:19	11,5	80	0,275	0,4	15	20	2	30	4	2	48,505352	51,502464	4,582262	1,388564	48,8859	50,1139	1	1,55	-0,936	48,8859	4,311762	28,8281	5,047164	36,506849	26,341246	-0,922787	23,91	24,13	29,03	-11,272327	0	-4,769951	0	0	0,005714	1	0
24/08/2013	15:20	12	80	0,275	0,4	15	20	2	30	4	2	49,282958	52,206071	0	-1,669929	49,7848	53,876	0	1,7978	0,2478	49,7848	0	28,9531	5,029234	37,549902	26,341246	-0,896422	24,13	24,25	29,01	-11,721777	0	-5,048024	0	0	0,005823	-2	0
24/08/2013	15:20	12,5	80	0,275	0,4	15	20	2	30	4	2	50,041364	52,892305	2,268768	0,687505	50,4532	52,2048	1	1,3368	-0,461	50,4532	4,301496	29,0703	5,029234	37,897587	26,594527	-0,964218	24,25	23,91	29,03	-11,929336	0	-5,31269	0	0	0,006016	1	0
24/08/2013	15:21	13	80	0,275	0,4	15	20	2	30	4	2	50,781046	53,561597	0	-1,177703	51,2265	54,7393	0	1,5466	0,2098	51,2265	0	29,2266	5,065093	37,549902	26,594527	-0,922787	23,91	24,13	29,03	-12,315986	0	-5,572071	0	0	0,006125	-1	0
24/08/2013	15:21	13,5	80	0,275	0,4	15	20	2	30	4	2	51,502464	54,214363	1,127819	0,341763	51,8642	53,8726	1	1,2754	-0,2712	51,8642	4,47602	29,3672	5,047164	37,318113	26,594527	-0,934087	24,13	24,07	29,03	-12,634836	0	-5,824313	0	0	0,006278	0	0
24/08/2013	15:22	14	80	0,275	0,4	15	20	2	30	4	2	52,206071	54,851013	0	-0,172887	52,4987	55,0239	0	1,269	-0,0064	52,4987	0	29,4922	5,029234	38,592955	26,721168	-0,93032	24,07	24,09	29,03	-12,888766	0	-6,067915	0	0	0,006387	0	0
24/08/2013	15:22	14,5	80	0,275	0,4	15	20	2	30	4	2	52,892305	55,471944	0	-0,241556	53,1379	55,7135	0	1,2784	0,0094	53,1379	0	29,6563	5,029234	39,056534	26,721168	-0,937853	24,09	24,05	29,03	-13,208366	0	-6,30593	0	0	0,006497	0	0
24/08/2013	15:23	15	80	0,275	0,4	15	20	2	30	4	2	53,561597	56,077544	8,25	3,334644	53,3781	52,7429	1	0,4804	-0,798	53,3781	4,239899	29,7891	5,047164	39,056534	26,721168	-0,956685	24,05	23,97	29,05	-13,328466	0	-6,532463	0	0	0,006904	3	0
24/08/2013	15:23	15,5	80	0,275	0,4	15	20	2	30	4	2	54,214363	56,668191	4,708081	1,426691	53,6919	55,2415	1	0,6276	0,1472	53,6919	4,188569	29,9219	5,065093	38,245271	26,721168	-0,937853	23,97	24,07	29,05	-13,485366	0	-6,749741	0	0	0,007181	1	0
24/08/2013	15:24	16	80	0,275	0,4	15	20	2	30	4	2	54,851013	57,244255	0	-0,243245	54,2531	57,4875	0	1,1224	0,4948	54,2531	0	30,0859	5,047164	39,404218	26,847809	-0,922787	24,07	24,15	29,05	-13,702646	0	-6,960435	0	0	0,007291	0	0
24/08/2013	15:24	16,5	80	0,275	0,4	15	20	2	30	4	2	55,471944	57,806097	0	-0,756903	54,9814	58,563	0	1,4566	0,3342	54,9814	0	30,2422	5,011305	39,520113	26,847809	-0,919021	24,15	24,17	29,05	-14,066796	0	-7,169446	0	0	0,0074	-1	0
24/08/2013	15:25	17	80	0,275	0,4	15	20	2	30	4	2	56,077544	58,354066	0	-0,402034	55,7245	58,7561	0	1,4862	0,0296	55,7245	0	30,3594	5,029234	38,592955	26,847809	-0,896422	24,17	24,31	29,07	-14,438346	0	-7,377129	0	0	0,00751	0	0
24/08/2013	15:25	17,5	80	0,275	0,4	15	20	2	30	4	2	56,668191	58,888506	0	-0,245494	56,4336	59,134	0	1,4182	-0,068	56,4336	0	30,5156	5,047164	39,636008	26,847809	-0,896422	24,31	24,31	29,07	-14,792896	0	-7,583122	0	0	0,007619	0	0
24/08/2013	15:26	18	80	0,275	0,4	15	20	2	30	4	2	57,244255	59,409751	0	-0,537849	57,1392	59,9476	0	1,4112	-0,007	57,1392	0	30,6719	5,065093	38,940639	26,847809	-0,93032	24,31	24,13	29,07	-15,145696	0	-7,787516	0	0	0,007729	-1	0
24/08/2013	15:27	18,5	80	0,275	0,4	15	20	2	30	4	2	57,806097	59,918126	8,25	3,648326	57,3562	56,2698	1	0,434	-0,9772	57,3562	4,229633	30,8203	5,047164	39,867797	26,847809	-0,915254	24,13	24,23	29,09	-15,254196	0	-7,984008	0	0	0,008135	4	0
24/08/2013	15:27	19	80	0,275	0,4	15	20	2	30	4	2	58,354066	60,413949	5,443842	1,649649	57,6091	58,7643	1	0,5058	0,0718	57,6091	4,198835	30,9688	5,065093	39,867797	26,847809	-0,885122	24,23	24,39	29,09	-15,380646	0	-8,173665	0	0	0,008439	2	0
24/08/2013	15:27	19,5	80	0,275	0,4	15	20	2	30	4	2	58,888506	60,897531	0	-0,577069	58,151	61,4746	0	1,0838	0,578	58,151	0	31,0781	5,065093	38,824745	26,847809	-0,907721	24,39	24,27	29,09	-15,651596	0	-8,360614	0	0	0,008549	-1	0
24/08/2013	15:28	20	80	0,275	0,4	15	20	2	30	4	2	59,409751	61,369172	0	-1,258928	58,8893	62,6281	0	1,4766	0,3928	58,8893	0	31,2266	5,065093	39,404218	26,847809	-0,937853	24,27	24,11	29,09	-16,020746	0	-8,547446	0	0	0,008658	-1	0
24/08/2013	15:28	20,5	80	0,275	0,4	15	20	2	30	4	2	59,918126	61,829169	0	-1,219631	59,6796	63,0488	0	1,5806	0,104	59,6796	0	31,3906	5,047164	39,636008	26,847809	-0,877589	24,11	24,43	29,09	-16,415896	0	-8,73479	0	0	0,008768	-1	0
24/08/2013	15:29	21	80	0,275	0,4	15	20	2	30	4	2	60,413949	62,277808	0	-0,540592	60,3796	62,8184	0	1,4	-0,1806	60,3796	0	31,5469	5,029234	40,099587	26,847809	-0,873823	24,43	24,47	29,11	-16,765896	0	-8,92156	0	0	0,008877	-1	0
24/08/2013	15:29	21,5	80	0,275	0,4	15	20	2	30	4	2	60,897531	62,715371	0	-0,239029	60,9768	62,9544	0	1,1944	-0,2056	60,9768	0	31,6797	5,065093	40,563166	26,847809	-0,900188	24,47	24,33	29,11	-17,064496	0	-9,106627	0	0	0,008987	0	0
24/08/2013	15:30	22	80	0,275	0,4	15	20	2	30	4	2	61,369172	63,14213	7,354148	2,22853	61,2352	60,9136	1	0,5168	-0,6776	61,2352	4,270698	31,8281	5,029234	40,099587	26,847809	-0,911488	24,33	24,27	29,11	-17,193696	0	-9,286339	0	0	0,009363	2	0
24/08/2013	15:31	22,5	80	0,275	0,4	15	20	2	30	4	2	61,829169	63,558352	7,596442	2,301952	61,3524	61,2564	1	0,2344	-0,2824	61,3524	4,229633	31,9453	5,065093	41,026745	26,847809	-0,881356	24,27	24,45	29,13	-17,252296	0	-9,459512	0	0	0,009746	2	0
24/08/2013	15:31	23	80	0,275	0,4	15	20	2	30	4	2	62,277808	63,964298	0	-1,501202	61,8615	65,4655	0	1,0182	0,7838	61,8615	0	32,0859	5,029234	39,520113	27,10109	-0,903955	24,45	24,33	29,13	-17,380205	0	-9,628038	0	0	0,009856	-2	0
24/08/2013	15:31	23,5	80	0,275	0,4	15	20	2	30	4	2	62,715371	64,360221	0	-2,627979	62,6574	66,9882	0	1,5918	0,5736	62,6574	0	32,2344	5,065093	41,258535	27,10109	-0,881356	24,33	24,45	29,13	-17,778155	0	-9,797832	0	0	0,009965	-3	0
24/08/2013	15:32	24	80	0,275	0,4	15	20	2	30	4	2	63,14213	64,746368	0	-1,939132	63,4587	66,6855	0	1,6026	0,0108	63,4587	0	32,3438	5,047164	40,099587	26,847809	-0,900188	24,45	24,37	29,15	-18,305446	0	-9,971457	0	0	0,010075	-2	0
24/08/2013	15:32	24,5	80	0,275	0,4	15	20	2	30	4	2	63,558352	65,122982	0	-1,456618	64,1616	66,5796	0	1,4058	-0,1968	64,1616	0	32,4609	5,100952	40,331376	27,10109	-0,900188	24,37	24,39	29,17	-18,530255	0	-10,142633	0	0	0,010185	-1	0
24/08/2013	15:33	25	80	0,275	0,4	15	20	2	30	4	2	63,964298	65,490297	1,429549	0,433197	64,5735	65,0571	1	0,8238	-0,582	64,5735	4,47602	32,625	5,065093	41,374429	27,22773	-0,900188	24,39	24,37	29,15	-18,672885	0	-10,309892	0	0	0,010349	0	0
24/08/2013	15:33	25,5	80	0,275	0,4	15	20	2	30	4	2	64,360221	65,848543	0	-0,883457	64,9964	66,732	0	0,8458	0,022	64,9964	0	32,7266	5,083023	39,983692	27,22773	-0,903955	24,37	24,35	29,15	-18,884335	0	-10,474785	0	0	0,010458	-1	0
24/08/2013	15:34	26	80	0,275	0,4	15	20	2	30	4	2	64,746368	66,197943	4,046933	1,226343	65,1816	64,9716	1	0,3704	-0,4754	65,1816	4,301496	32,875	5,029234	40,099587	27,22773	-0,885122	24,35	24,45	29,15	-18,976935	0	-10,635203	0	0	0,010716	1	0
24/08/2013	15:34	26,5	80	0,275	0,4	15	20	2	30	4	2	65,122982	66,538717	3,210627	0,972917	65,3066	65,5658	1	0,25	-0,1204	65,3066	4,29123	33	5,047164	40,331376	27,354371	-0,896422	24,45	24,39	29,15	-18,976114	0	-10,789665	0	0	0,010942	1	0
24/08/2013	15:35	27	80	0,275	0,4	15	20	2	30	4	2	65,490297	66,871078	4,323916	1,310278	65,3904	65,5608	1	0,1676	-0,0824	65,3904	4,270698	33,0859	5,083023	40,331376	27,22773	-0,900188	24,39	24,39	29,17	-19,081335	0	-10,940422	0	0	0,011209	1	0
24/08/2013	15:35	27,5	80	0,275	0,4	15	20	2	30	4	2	65,848543	67,195232	0	-2,274468	65,8809	69,4697	0	0,981	0,8134	65,8809	0	33,2109	5,047164	40,563166	27,22773	-0,911488	24,39	24,33	29,17	-19,326585	0	-11,090175	0	0	0,011318	-2	0
24/08/2013	15:36	28	80	0,275	0,4	15	20	2	30	4	2	66,197943	67,511383	0,753333	0,228283	66,2547	67,2831	1	0,7476	-0,2334	66,2547	4,517084	33,3359	5,029234	41,14264	27,354371	-0,881356	24,33	24,49	29,17	-19,450164	0	-11,236842	0	0	0,011457	0	0
24/08/2013	15:36	28,5	80	0,275	0,4	15	20	2	30	4	2	66,538717	67,819728	0	-2,866272	66,9132	70,686	0	1,317	0,5694	66,9132	0	33,4609	5,083023	40,794956	27,354371	-0,888889	24,49	24,45	29,17	-19,779414	0	-11,384127	0	0	0,011567	-3	0
24/08/2013	15:37	29	80	0,275	0,4	15	20	2	30	4	2	66,871078	68,12046	8,25	2,56596	67,0549	65,5545	1	0,2834	-1,0336	67,0549	4,229633	33,5703	5,029234	40,563166	27,354371	-0,888889	24,45	24,45	29,17	-19,850264	0	-11,527621	0	0	0,011973	3	0
24/08/2013	15:37	29,5	80	0,275	0,4	15	20	2	30	4	2	67,195232	68,413767	0	-3,677733	67,6775	72,0915	0	1,2452	0,9618	67,6775	0	33,6797	5,029234	42,185693	27,354371	-0,870056	24,45	24,55	29,17	-20,161564	0	-11,67152	0	0	0,012082	-4	0
24/08/2013	15:38	30	80	0,275	0,4	15	20	2	30	4	2	67,511383	68,699832	1,856355	0,562532	68,0053	68,1373	1	0,6556	-0,5896	68,0053	4,352826	33,7891	5,029234	42,417482	27,354371	-0,892655	24,55	24,47	29,21	-20,325464	0	-11,813388	0	0	0,012261	1	0
24/08/2013	15:38	30,5	80	0,275	0,4	15	20	2	30	4	2	67,819728	68,978834	0	-3,072966	68,6006	72,0518	0	1,1906	0,535	68,6006	0	33,9609	5,065093	40,91085	27,354371	-0,873823	24,47	24,55	29,19	-20,623114	0	-11,955481	0	0	0,01237	-3	0
24/08/2013	15:39	31	80	0,275	0,4	15	20	2	30	4	2	68,12046	69,250947	0	-2,901253	69,2598	72,1522	0	1,3184	0,1278	69,2598	0	34,0781	5,083023	41,374429	27,354371	-0,911488	24,55	24,35	29,19	-20,952714	0	-12,098294	0	0	0,01248	-3	0
24/08/2013	15:39	31,5	80	0,275	0,4	15	20	2	30	4	2	68,413767	69,516342	0	-2,926958	69,9065	72,4433	0	1,2934	-0,025	69,9065	0	34,1719	5,065093	41,14264	27,354371	-0,885122	24,35	24,49	29,19	-21,276064	0	-12,241697	0	0	0,012589	-3	0
24/08/2013	15:40	32	80	0,275	0,4	15	20	2	30	4	2	68,699832	69,775185	2,82541	0,856185	70,0842	68,919	1	0,3554	-0,938	70,0842	4,393891	34,3516	5,047164	42,301587	27,354371	-0,854991	24,49	24,63	29,17	-21,364914	0	-12,382054	0	0	0,012805	1	0
24/08/2013	15:40	32,5	80	0,275	0,4	15	20	2	30	4	2	68,978834	70,027636	0	-0,257464	70,1855	70,2851	0	0,2026	-0,1528	70,1855	0	34,4922	5,065093	41,374429	27,354371	-0,86629	24,63	24,61	29,21	-21,415564	0	-12,518925	0	0	0,012914	0	0
24/08/2013	15:41	33	80	0,275	0,4	15	20	2	30	4	2	69,250947	70,273855	5,938202	1,799455	70,0404	68,4744	1	-0,2902	-0,4928	70,0404	4,239899	34,6016	5,029234	42,301587	27,354371	-0,881356	24,61	24,53	29,21	-21,343014	0	-12,650628	0	0	0,013238	2	0
24/08/2013	15:41	33,5	80	0,275	0,4	15	20	2	30	4	2	69,516342	70,513994	4,037201	1,223394	69,8926	69,2906	1	-0,2956	-0,0054	69,8926	4,198835	34,7109	5,047164	42,417482	27,354371	-0,843691	24,53	24,69	29,17	-21,269114	0	-12,77737	0	0	0,013491	1	0
24/08/2013	15:42	34	80	0,275	0,4	15	20	2	30	4	2	69,775185	70,748205	0	-0,994695	70,0325	71,7429	0	0,2798	0,5754	70,0325	0	34,8516	5,083023	42,765166	27,354371	-0,854991	24,69	24,67	29,21	-21,339064	0	-12,901453	0	0	0,013601	-1	0
24/08/2013	15:42	34,5	80	0,275	0,4	15	20	2	30	4	2	70,027636	70,976632	2,696207	0,817032	70,1088	70,1596	1	0,1526	-0,1272	70,1088	4,332294	34,9297	5,083023	42,301587	27,481012	-0,877589	24,67	24,55	29,21	-21,313894	0	-13,021631	0	0	0,01381	1	0
24/08/2013	15:43	35	80	0,275	0,4	15	20	2	30	4	2	70,273855	71,19942	2,117346	0,64162	70,1926	70,5578	1	0,1676	0,015	70,1926	4,393891	35,0156	5,029234	41,953903	27,481012	-0,839925	24,55	24,75	29,21	-21,355794	0	-13,139013	0	0	0,013998	1	0
24/08/2013	15:43	35,5	80	0,275	0,4	15	20	2	30	4	2	70,513994	71,416707	0	-0,579993	70,4303	71,9967	0	0,4754	0,3078	70,4303	0	35,1484	5,047164	41,953903	27,481012	-0,851224	24,75	24,69	29,21	-21,474644	0	-13,254786	0	0	0,014108	-1	0
24/08/2013	15:44	36	80	0,275	0,4	15	20	2	30	4	2	70,748205	71,628629	0	-1,638071	70,8511	73,2667	0	0,8416	0,3662	70,8511	0	35,2109	5,047164	42,881061	27,734293	-0,843691	24,69	24,73	29,21	-21,558404	0	-13,368534	0	0	0,014218	-2	0
24/08/2013	15:44	36,5	80	0,275	0,4	15	20	2	30	4	2	70,976632	71,835319	3,073354	0,931319	71,044	70,904	1	0,3858	-0,4558	71,044	4,311762	35,2969	5,047164	42,069798	27,734293	-0,854991	24,73	24,67	29,21	-21,654854	0	-13,480511	0	0	0,01444	1	0
