REP 	Qty 	Designation 	Matière 	Founisseur 	Reference
I 	1 	Assemblage Wifi 			
2 	1 	PCB 		Achat 	
3 	1 	MKR1010 		Achat 	
4 	1 	Batterie 	LiPo 	Conrad 	1890528
5 	3 	Entretoise hexagonale M3x8 	Acier zingué 	Bricovis 	ENTH03/008FFZN
6 	1 	Top 	PLA 	Fablab 	top.slt
7 	1 	Logo 	ABS 	Fablab 	Logo.stl
8 	1 	Jupe 	PLA 	Fablab 	jupe_wifi.stl
9 	4 	Vis TC M2x30 	Inox A2 	Bricovis 	TC02/030A2
10 	4 	Rondelle M2 ep=0.3 	Nylon 	Bricovis 	RON02/005/0.3NYL
11 	6 	Rondelle M3 ep=0.5 	Nylon 	Bricovis 	RON03.2/007/0.5NYL
12 	1 	Isolateur ep=2 	ONYX 	Blue Lab44 	isolateur-433-v2.stl
13 	2 	Entretoise M3x5 	Acier zingué 	Bricovis 	ENTH03/005FFZN
14 	10 	Vis à tête ronde fendue M3X6 	Acier zingué 	Bricovis 	TC03/006ZN
15 	6 	Entretoise mâle M3x5 	Acier zingué 	Bricovis 	ENTH03/005MFZN
16 	1 	Entretoise de fixation ep=10 	ALU 	Olivier-Usinage 	ent-fixation.dxf
17 	2 	thermomètre digital 		Conrad 	DS18B20
18 	2 	Vis sans Tête, Empreinte Hexagonale M4-4 (thermomètre digital+masse mécanique) 	Acier zingué 	Bricovis 	STHCPLA03/006ZN
19 	1 	Connexion "masse mécanique" 		Magasin 	
20 	1 	Couvercle 	Inox 	Achat 	
21 	8 	Entretoise Øint=2,2 Øext=4 	PLA 	FABLAB 	Entretoise.stl
22 	4 	Ecrou M2 	Inox A2 	Bricovis 	ECRHU02A2
23 	2 	Collier de serrage 	Nylon 	Bricovis 	COLSER02.6/200NYLN
24 	1 	Câble micro USB 		Achat
