Date	heure	t	Tu	I	G	tm	tau	ta	p	Vc	Ac	Tc	Tcf	Dich	e	T	Tf	Ach	Vm	Am	T 1051	Ieff	Ambient	5V	T1	T2	E	T surf	T IR	T IRa	Fth	Fthc	Fthmoy	Fthmin	Ebullition	C(€)	e1	e2
25/02/2014	09:44	0	80	0,275	0,4	15	20	2	30	4	2	17,2196	23,193945	8,25	75,104745	17,1916	-51,9108	1	-0,056	-34,4952	17,1916	4,188569	19,4531	5,100952	23,526636	19,376013	-0,444444	0	18,77	21,13	1,092206	0	1,092206	0	0	0,000403	75	0
25/02/2014	09:45	0,5	80	0,275	0,4	15	20	2	30	4	2	18,769654	24,596491	8,25	6,080591	17,3263	18,5159	1	0,2694	0,3254	17,3263	4,270698	19,7422	5,047164	23,758426	19,376013	-0,489642	18,77	18,57	21,17	1,024856	0	1,058531	0	0	0,000812	6	0
25/02/2014	09:45	1	80	0,275	0,4	15	20	2	30	4	2	20,281436	25,964409	8,25	10,688009	17,1584	15,2764	1	-0,3358	-0,6052	17,1584	4,270698	20,0234	5,047164	24,801479	19,502653	-0,493409	18,57	18,57	21,19	1,172127	0	1,096397	0	0	0,001221	11	0
25/02/2014	09:46	1,5	80	0,275	0,4	15	20	2	30	4	2	21,755893	27,298552	8,25	9,012252	17,2091	18,2863	1	0,1014	0,4372	17,2091	4,270698	20,2266	5,047164	25,612742	19,376013	-0,482109	18,57	18,67	21,23	1,083456	0	1,093161	0	0	0,00163	9	0
25/02/2014	09:46	2	80	0,275	0,4	15	20	2	30	4	2	23,193945	28,599756	8,25	10,609756	17,3184	17,99	1	0,2186	0,1172	17,3184	4,250165	20,4141	5,100952	24,222005	19,249372	-0,489642	18,67	18,69	21,29	0,965486	0	1,067626	0	0	0,002038	11	0
25/02/2014	09:47	2,5	80	0,275	0,4	15	20	2	30	4	2	24,596491	29,868832	8,25	13,744532	17,2343	16,1243	1	-0,1682	-0,3868	17,2343	4,260432	20,5547	5,083023	25,728637	19,249372	-0,497175	18,69	18,69	21,33	1,007536	0	1,057611	0	0	0,002446	14	0
25/02/2014	09:47	3	80	0,275	0,4	15	20	2	30	4	2	25,964409	31,106575	8,25	14,221675	17,1581	16,8849	1	-0,1524	0,0158	17,1581	4,270698	20,7031	5,100952	25,496847	19,249372	-0,451977	18,69	18,95	21,35	1,045636	0	1,055901	0	0	0,002855	14	0
25/02/2014	09:48	3,5	80	0,275	0,4	15	20	2	30	4	2	27,298552	32,313758	8,25	14,621358	17,1836	17,6924	1	0,051	0,2034	17,1836	4,270698	20,8047	5,065093	25,960426	19,249372	-0,542373	18,95	18,51	21,39	1,032886	0	1,053024	0	0	0,003264	15	0
25/02/2014	09:48	4	80	0,275	0,4	15	20	2	30	4	2	28,599756	33,491136	8,25	15,928936	17,237	17,5622	1	0,1068	0,0558	17,237	4,229633	20,8594	5,118882	26,5399	19,249372	-0,516008	18,51	18,67	21,41	1,006186	0	1,04782	0	0	0,00367	16	0
25/02/2014	09:49	4,5	80	0,275	0,4	15	20	2	30	4	2	29,868832	34,639444	8,25	17,056244	17,2992	17,5832	1	0,1244	0,0176	17,2992	4,270698	20,9609	5,029234	26,5399	19,249372	-0,508475	18,67	18,73	21,43	0,975086	0	1,040546	0	0	0,004079	17	0
