Date	heure	t	Tu	I	G	tm	tau	ta	p	Vc	Ac	Tc	Tcf	Dich	e	T	Tf	Ach	Vm	T 1051	Ieff	Ambient	5V	T1	T2	E	T surf
30/10/2012	20:43	0	80	0,275	0,4	15	20	2	30	4	2	22,2536	27,748897	8,25	96,979297	21,9792	-69,2304	1	-0,5488	21,9792	9,229224	20,0547	0,295488	0,463579	0,350158	6,320161	0
30/10/2012	20:43	0,5	80	0,275	0,4	15	20	2	30	4	2	23,679364	29,038981	8,25	9,508181	21,5852	19,5308	1	-0,788	21,5852	9,023902	20,4063	0,429379	0,463579	0,466878	6,248442	36,478924
30/10/2012	20:44	1	80	0,275	0,4	15	20	2	30	4	2	25,069925	30,297213	8,25	10,372413	21,2256	19,9248	1	-0,7192	21,2256	9,167627	20,6797	0,447401	0,463579	0,350158	6,248442	25,86
30/10/2012	20:44	1,5	80	0,275	0,4	15	20	2	30	4	2	26,426154	31,524379	8,25	12,691679	20,7999	18,8327	1	-0,8514	20,7999	9,167627	20,8906	0,387947	0,463579	0,350158	6,230513	27,638906
30/10/2012	20:45	2	80	0,275	0,4	15	20	2	30	4	2	27,748897	32,721246	8,25	13,488246	20,4366	19,233	1	-0,7266	20,4366	9,034168	21,0547	0,324848	0,463579	0,350158	6,212583	26,14
30/10/2012	20:45	2,5	80	0,275	0,4	15	20	2	30	4	2	29,038981	33,888563	8,25	15,442163	20,054	18,4464	1	-0,7652	20,054	9,188159	21,2344	0,302161	0,463579	0,466878	6,230513	34,288513
30/10/2012	20:46	3	80	0,275	0,4	15	20	2	30	4	2	30,297213	35,027058	8,25	13,545258	20,0426	21,4818	1	-0,0228	20,0426	9,188159	21,2969	0,364663	0,463579	0,350158	6,176724	36,552236
30/10/2012	20:46	3,5	80	0,275	0,4	15	20	2	30	4	2	31,524379	36,137444	8,25	15,236544	20,1329	20,9009	1	0,1806	20,1329	9,208692	21,4219	0,287074	0,463579	0,350158	6,194654	31,047291
30/10/2012	20:47	4	80	0,275	0,4	15	20	2	30	4	2	32,721246	37,220415	8,25	16,172515	20,2747	21,0479	1	0,2836	20,2747	9,136829	21,5234	0,320845	0,463579	0,466878	6,212583	38,438743
30/10/2012	20:47	4,5	80	0,275	0,4	15	20	2	30	4	2	33,888563	38,276646	8,25	17,600746	20,3823	20,6759	1	0,2152	20,3823	9,126563	21,5547	0,275275	0,463579	0,350158	6,212583	35,141464
