Date	Heure	Vm	Vc	V. Moy.	T	Tu	Cde TC	Am	Ac	A. moy.	Coef. X	Tc	Tcf	Tf
12/01/2011	15:13	-0,778289	150	-0,029135	21,663352	65	5	-0,653381	50	-0,025106	5	26,078305	26,078305	21,090684
12/01/2011	15:13	-0,421626	150	-0,041401	21,62119	65	5	0,356663	50	-0,013176	5	26,078305	26,078305	21,595204
12/01/2011	15:14	-0,022132	150	-0,040817	21,618977	65	5	0,399495	50	-0,000671	5	26,078305	26,078305	21,769922
12/01/2011	15:14	-1,326379	150	-0,078627	21,486339	65	5	-1,304248	50	-0,039011	5	26,078305	26,078305	20,434088
12/01/2011	15:15	0,228089	150	-0,069864	21,509148	65	5	1,554469	50	0,006517	5	26,078305	26,078305	22,222171
12/01/2011	15:15	-0,785992	150	-0,089757	21,430548	65	5	-1,014081	50	-0,021833	5	26,078305	26,078305	20,710519
12/01/2011	15:16	-0,210085	150	-0,093009	21,40954	65	5	0,575907	50	-0,005678	5	26,078305	26,078305	21,555869
12/01/2011	15:16	-0,134956	150	-0,094113	21,396044	65	5	0,07513	50	-0,003551	5	26,078305	26,078305	21,372114
12/01/2011	15:17	1,131373	150	-0,06269	21,509182	65	5	1,266329	50	0,02901	5	26,078305	26,078305	22,468262
12/01/2011	15:17	-0,092894	150	-0,063445	21,499892	65	5	-1,224267	50	-0,002322	5	26,078305	26,078305	20,973028
12/01/2011	15:18	1,51025	150	-0,025062	21,650917	65	5	1,603143	50	0,036835	5	26,078305	26,078305	22,896275
12/01/2011	15:18	3,818544	150	0,066452	22,032772	65	5	2,308295	50	0,090918	5	26,078305	26,078305	24,483507
12/01/2011	15:19	14,399246	150	0,399773	23,472696	65	5	10,580702	50	0,334866	5	26,078305	26,078305	33,464676
12/01/2011	15:19	15,321779	150	0,73891	25,004874	65	5	0,922533	50	0,348222	5	26,078305	26,078305	31,502599
12/01/2011	15:20	12,21896	150	0,994022	26,22677	65	0	-3,102819	50	0,271532	5	26,078305	38,910008	29,873227
12/01/2011	15:20	25,488643	150	1,526514	28,775635	65	5	13,269683	50	0,554101	5	29,782194	41,392799	44,278965
12/01/2011	15:21	39,863071	150	2,342185	32,761942	65	5	14,374427	50	0,84815	5	33,133611	43,639321	54,456941
12/01/2011	15:21	29,1035	150	2,899712	35,672292	65	5	-10,759571	50	0,606323	5	36,166099	45,672058	43,009864
12/01/2011	15:22	22,299324	150	3,295623	37,902224	65	5	-6,804176	50	0,455088	5	38,910008	47,511355	44,100284
12/01/2011	15:22	21,131494	150	3,65234	40,015374	65	5	-1,16783	50	0,42263	5	41,392799	49,17562	48,000839
12/01/2011	15:23	22,654092	150	4,024924	42,280783	65	5	1,522598	50	0,444198	5	43,639321	50,681509	51,951459
12/01/2011	15:23	20,420224	150	4,340218	44,322805	65	5	-2,233868	50	0,392697	5	45,672058	52,044093	51,597348
12/01/2011	15:24	25,089018	150	4,731705	46,831707	65	5	4,668793	50	0,473378	5	47,511355	53,277011	58,734831
12/01/2011	15:24	19,997167	150	5,014398	48,831424	65	5	-5,091851	50	0,370318	5	49,17562	54,392601	54,79355
12/01/2011	15:25	14,32972	150	5,183768	50,264396	65	5	-5,667447	50	0,26054	5	50,681509	55,402028	53,729305
12/01/2011	15:25	11,083939	150	5,289128	51,372789	65	5	-3,245781	50	0,197927	5	52,044093	56,315396	54,508052
12/01/2011	15:26	7,712359	150	5,331641	52,144025	65	5	-3,37158	50	0,135305	5	53,277011	57,141845	53,880337
12/01/2011	15:26	11,830598	150	5,443692	53,327085	65	5	4,118239	50	0,203976	5	54,392601	57,889648	59,70662
12/01/2011	15:27	11,886166	150	5,552886	54,515702	65	5	0,055569	50	0,20146	5	55,402028	58,566287	59,292396
12/01/2011	15:27	10,948544	150	5,642814	55,610556	65	5	-0,937622	50	0,182476	5	56,315396	59,178536	59,614925
12/01/2011	15:28	10,471231	150	5,721968	56,657679	65	5	-0,477313	50	0,17166	5	57,141845	59,732521	60,655246
12/01/2011	15:28	13,161602	150	5,841962	57,973839	65	0	2,69037	50	0,212284	5	57,889648	60,233788	64,314628
12/01/2011	15:29	12,08603	150	5,941075	59,182442	65	0	-1,075571	50	0,191842	5	58,566287	60,687353	63,586626
12/01/2011	15:29	8,593095	150	5,982512	60,041752	65	0	-3,492935	50	0,134267	5	59,178536	61,097756	62,081816
12/01/2011	15:30	11,12814	150	6,061676	61,154566	65	0	2,535044	50	0,171202	5	59,732521	61,469103	66,619839
12/01/2011	15:30	7,816582	150	6,088265	61,936224	65	0	-3,311558	50	0,118433	5	60,233788	61,805113	63,738233
12/01/2011	15:31	5,853207	150	6,084757	62,521545	65	0	-1,963374	50	0,087361	5	60,687353	62,109146	64,077478
12/01/2011	15:31	2,580204	150	6,03322	62,779565	65	0	-3,273003	50	0,037944	5	61,097756	62,384248	62,502446
12/01/2011	15:32	1,745043	150	5,971072	62,954069	65	0	-0,835161	50	0,02529	5	61,469103	62,633169	63,318022
12/01/2011	15:32	1,160801	150	5,902354	63,07015	65	0	-0,584242	50	0,016583	5	61,805113	62,858403	63,300774
12/01/2011	15:33	0,670865	150	5,828671	63,137236	65	0	-0,489937	50	0,009449	5	62,109146	63,062203	63,209607
12/01/2011	15:33	0,206268	150	5,750582	63,157863	65	0	-0,464597	50	0,002865	5	62,384248	63,246609	63,054531
12/01/2011	15:34	2,151762	150	5,701283	63,373039	65	0	1,945494	50	0,029476	5	62,633169	63,413466	65,011942
12/01/2011	15:34	2,949478	150	5,664097	63,667987	65	0	0,797716	50	0,039858	5	62,858403	63,564445	65,166865
12/01/2011	15:35	1,918329	150	5,614153	63,85982	65	0	-1,031149	50	0,025578	5	63,062203	63,701056	64,214692
12/01/2011	15:35	1,528239	150	5,560391	64,012644	65	0	-0,39009	50	0,020108	5	63,246609	63,824667	64,467904
12/01/2011	15:36	2,63173	150	5,522356	64,275817	65	0	1,103491	50	0,034178	5	63,413466	63,936514	65,769905
12/01/2011	15:36	1,259374	150	5,467703	64,401754	65	0	-1,372355	50	0,016146	5	63,564445	64,037718	64,356562
12/01/2011	15:37	1,136917	150	5,412883	64,515446	65	0	-0,122457	50	0,014391	5	63,701056	64,129292	64,92123
12/01/2011	15:37	0,738463	150	5,354453	64,589292	65	0	-0,398454	50	0,009231	5	63,824667	64,21215	64,725295
12/01/2011	15:38	1,620332	150	5,308352	64,751325	65	0	0,881869	50	0,020004	5	63,936514	64,287124	65,752206
12/01/2011	15:38	3,101604	150	5,281441	65,061486	65	0	1,481272	50	0,037824	5	64,037718	64,354963	66,894636
12/01/2011	15:39	0,705713	150	5,226311	65,132057	65	0	-2,39589	50	0,008503	5	64,129292	64,416347	64,455986
12/01/2011	15:39	-0,198091	150	5,161735	65,112248	65	0	-0,903805	50	-0,002358	5	64,21215	64,471889	64,67149
12/01/2011	15:40	-1,940913	150	5,078175	64,918157	65	0	-1,742821	50	-0,022834	5	64,287124	64,522145	63,444663
12/01/2011	15:40	0,198589	150	5,021435	64,938016	65	0	2,139502	50	0,002309	5	64,354963	64,567619	65,873252
12/01/2011	15:41	-1,020542	150	4,951987	64,835961	65	0	-1,219131	50	-0,01173	5	64,416347	64,608766	63,940092
12/01/2011	15:41	-0,97323	150	4,884655	64,738638	65	0	0,047312	50	-0,011059	5	64,471889	64,645996	64,368271
12/01/2011	15:42	1,789422	150	4,849877	64,917581	65	0	2,762652	50	0,020106	5	64,522145	64,679684	66,73841
12/01/2011	15:42	0,854907	150	4,805489	65,003071	65	0	-0,934515	50	0,009499	5	64,567619	64,710166	64,971228
12/01/2011	15:43	0,648826	150	4,759811	65,067954	65	0	-0,206081	50	0,00713	5	64,608766	64,737748	65,245052
12/01/2011	15:43	1,21591	150	4,721291	65,189545	65	0	0,567084	50	0,013216	5	64,645996	64,762704	65,902743
12/01/2011	15:44	-0,179512	150	4,668594	65,171594	65	0	-1,395422	50	-0,00193	5	64,679684	64,785286	64,54162
12/01/2011	15:44	-1,915319	150	4,598552	64,980062	65	0	-1,735807	50	-0,020376	5	64,710166	64,805719	63,519611
12/01/2011	15:45	0,825008	150	4,558831	65,062563	65	0	2,740327	50	0,008684	5	64,737748	64,824207	66,488697
12/01/2011	15:45	-0,931245	150	4,501642	64,969438	65	0	-1,756253	50	-0,0097	5	64,762704	64,840936	63,894439
12/01/2011	15:46	-0,946717	150	4,445474	64,874766	65	0	-0,015473	50	-0,00976	5	64,785286	64,856073	64,48989
12/01/2011	15:46	-1,661808	150	4,383154	64,708586	65	5	-0,715091	50	-0,016957	5	64,805719	64,869769	63,757826
12/01/2011	15:47	0,705371	150	4,346005	64,779123	65	5	2,367179	50	0,007125	5	64,824207	64,882162	66,008143
12/01/2011	15:47	0,311838	150	4,305663	64,810306	65	5	-0,393533	50	0,003118	5	64,840936	64,893376	64,777628
